Output Class
Danger ahead
Danger ahead
Danger ahead
Danger ahead
Danger ahead
Danger ahead
Danger ahead
Danger ahead
Danger ahead
No Horn
Danger ahead
Danger ahead
Speed Limit 40
Danger ahead
Danger ahead
Danger ahead
Danger ahead
Danger ahead
Speed Limit 50
Speed Limit 50
Speed Limit 50
Speed Limit 50
Speed Limit 50
Speed Limit 50
Danger ahead
Danger ahead
Danger ahead
Danger ahead
Danger ahead
Danger ahead
Speed Limit 50
Speed Limit 30
Speed Limit 30
Speed Limit 40
Danger ahead
Danger ahead
Speed Limit 30
Speed Limit 40
Danger ahead
Danger ahead
Danger ahead
Speed Limit 30
Danger ahead
Danger ahead
Danger ahead
Danger ahead
Danger ahead
Danger ahead
Danger ahead
Danger ahead
Danger ahead
Danger ahead
Danger ahead
Danger ahead
Danger ahead
No Horn
Danger ahead
Danger ahead
Speed Limit 40
Danger ahead
Danger ahead
Danger ahead
Danger ahead
Danger ahead
Speed Limit 50
Speed Limit 50
Speed Limit 50
Speed Limit 50
Speed Limit 50
Speed Limit 50
Danger ahead
Danger ahead
Danger ahead
Danger ahead
Danger ahead
Danger ahead
Speed Limit 50
Speed Limit 70
Speed Limit 70
Unknown 6
Speed Limit 70
Speed Limit 70
Speed Limit 70
Speed Limit 70
Speed Limit 70
Unknown 6
Speed Limit 70
Speed Limit 70
Speed Limit 70
Speed Limit 80
Speed Limit 80
Speed Limit 80
Speed Limit 80
Speed Limit 80
Speed Limit 40
Speed Limit 15
Speed Limit 60
Unknown 3
Speed Limit 50
Speed Limit 50
Speed Limit 50
Speed Limit 5
Speed Limit 5
Speed Limit 15
Speed Limit 15
Speed Limit 40
Speed Limit 15
Speed Limit 80
Speed Limit 80
Speed Limit 80
Speed Limit 80
Speed Limit 80
Speed Limit 40
Speed Limit 15
Speed Limit 60
Unknown 3
Speed Limit 50
Speed Limit 50
Speed Limit 50
Speed Limit 5
Speed Limit 5
Speed Limit 15
Speed Limit 15
Speed Limit 40
Speed Limit 15
Speed Limit 50
Speed Limit 50
Speed Limit 50
Speed Limit 50
Speed Limit 50
Speed Limit 50
Speed Limit 50
Speed Limit 50
Speed Limit 50
Speed Limit 50
Speed Limit 50
Speed Limit 50
Speed Limit 50
Speed Limit 50
Speed Limit 50
Speed Limit 50
Speed Limit 50
Speed Limit 50
Speed Limit 50
Speed Limit 50
Speed Limit 50
Speed Limit 50
Unknown 4
Speed Limit 50
Speed Limit 50
Speed Limit 50
Speed Limit 50
Speed Limit 50
Speed Limit 50
Speed Limit 50
Speed Limit 50
Speed Limit 50
Speed Limit 50
Speed Limit 50
Speed Limit 15
Speed Limit 50
Speed Limit 50
Speed Limit 50
Speed Limit 50
Speed Limit 50
Speed Limit 50
Speed Limit 50
Speed Limit 50
Speed Limit 50
Speed Limit 50
Speed Limit 50
Speed Limit 50
Speed Limit 50
Speed Limit 50
Speed Limit 50
Speed Limit 50
Speed Limit 50
Speed Limit 50
Speed Limit 50
Speed Limit 50
Speed Limit 50
Speed Limit 50
Speed Limit 50
Speed Limit 50
Speed Limit 50
Unknown 4
Speed Limit 50
Speed Limit 50
Speed Limit 50
Speed Limit 50
Speed Limit 50
Speed Limit 50
Speed Limit 50
Speed Limit 50
Speed Limit 50
Speed Limit 50
Speed Limit 50
Speed Limit 15
Speed Limit 50
Speed Limit 50
Speed Limit 50
go straight or right
go straight or right
go straight or right
Speed Limit 50
Speed Limit 50
Speed Limit 50
Speed Limit 50
go straight or right
go straight or right
Speed Limit 50
Speed Limit 50
Speed Limit 50
Speed Limit 50
Speed Limit 50
Give way
Speed Limit 50
Speed Limit 50
Speed Limit 50
Speed Limit 50
go straight or right
Speed Limit 50
Speed Limit 60
Speed Limit 50
Speed Limit 50
Speed Limit 50
go straight or right
Speed Limit 50
go straight or right
go straight or right
go straight or right
go straight or right
Speed Limit 50
Speed Limit 50
go straight or right
go straight or right
go straight or right
go straight or right
go straight or right
Speed Limit 50
Speed Limit 50
go straight or right
Speed Limit 50
go straight or right
go straight or right
go straight or right
Speed Limit 50
Speed Limit 50
Speed Limit 50
Speed Limit 50
go straight or right
go straight or right
Speed Limit 50
Speed Limit 50
Speed Limit 50
Speed Limit 50
Speed Limit 50
Give way
Speed Limit 50
Speed Limit 50
Speed Limit 50
Speed Limit 50
go straight or right
Speed Limit 50
Speed Limit 60
Speed Limit 50
Speed Limit 50
Speed Limit 50
go straight or right
Speed Limit 50
go straight or right
go straight or right
go straight or right
go straight or right
Speed Limit 50
Speed Limit 50
go straight or right
go straight or right
go straight or right
go straight or right
go straight or right
Speed Limit 50
Speed Limit 50
go straight or right
Speed Limit 50
Don't go right
Don't go right
No Overtake from Left
No Overtake from Left
No Overtake from Left
No Overtake from Left
Keep Left
Keep Left
No Overtake from Left
No Overtake from Left
No Overtake from Left
No Overtake from Left
Keep Left
Keep Left
No U-turn
Watch out for cars
No U-turn
No U-turn
No U-turn
Watch out for cars
No U-turn
No U-turn
No Cars
No Cars
No Cars
No Horn
No Horn
No Cars
No Cars
No Cars
No Horn
No Horn
No Horn
No Horn
No Horn
No Horn
No Horn
No Horn
No Horn
No Horn
No Horn
No Horn
No Horn
No Horn
No Horn
No Horn
No Horn
No Horn
No Horn
No Horn
No Horn
No Horn
No Horn
No Horn
No Horn
No Horn
No Horn
No Horn
Speed Limit (40km/h)
Speed Limit (40km/h)
Speed Limit (50km/h)
Speed Limit (50km/h)
Speed Limit (50km/h)
Speed Limit (50km/h)
Speed Limit (50km/h)
Speed Limit (50km/h)
Speed Limit (50km/h)
Speed Limit (50km/h)
Speed Limit (50km/h)
Speed Limit (50km/h)
Speed Limit (50km/h)
Speed Limit (50km/h)
Speed Limit (50km/h)
Speed Limit (50km/h)
Speed Limit (50km/h)
Speed Limit (50km/h)
Speed Limit (50km/h)
Go straight or right
Speed Limit (50km/h)
Speed Limit (50km/h)
Speed Limit (50km/h)
Speed Limit (50km/h)
Speed Limit (50km/h)
Speed Limit (50km/h)
Speed Limit (50km/h)
Speed Limit (50km/h)
Speed Limit (50km/h)
Speed Limit (50km/h)
Speed Limit (50km/h)
Speed Limit (50km/h)
Speed Limit (50km/h)
Go right
Speed Limit (50km/h)
Speed Limit (50km/h)
Speed Limit (50km/h)
Go straight or right
Speed Limit 5
Go right
Speed Limit (50km/h)
Speed Limit (50km/h)
Speed Limit (50km/h)
Speed Limit (50km/h)
Speed Limit (50km/h)
Speed Limit (50km/h)
Go right
Keep Left
Speed Limit (50km/h)
Speed Limit (50km/h)
Speed Limit (50km/h)
Speed Limit (50km/h)
Speed Limit (50km/h)
Speed Limit (50km/h)
Speed Limit (50km/h)
Speed Limit (50km/h)
Speed Limit (50km/h)
Speed Limit (50km/h)
Speed Limit (50km/h)
Speed Limit (50km/h)
Speed Limit (50km/h)
Speed Limit (50km/h)
Speed Limit 5
Speed Limit (50km/h)
Speed Limit (50km/h)
Speed Limit (50km/h)
Speed Limit (50km/h)
Speed Limit (50km/h)
Speed Limit (50km/h)
Speed Limit (50km/h)
Speed Limit (50km/h)
Speed Limit (50km/h)
Speed Limit (50km/h)
Speed Limit (50km/h)
Speed Limit (50km/h)
Speed Limit (50km/h)
Speed Limit (50km/h)
Speed Limit (50km/h)
Speed Limit (50km/h)
Speed Limit (50km/h)
Speed Limit (50km/h)
Speed Limit (50km/h)
Speed Limit (50km/h)
Speed Limit (50km/h)
Speed Limit (50km/h)
Speed Limit (50km/h)
Go straight or right
Speed Limit (50km/h)
Speed Limit (50km/h)
Speed Limit (50km/h)
Speed Limit (50km/h)
Speed Limit (50km/h)
Speed Limit (50km/h)
Speed Limit (50km/h)
Speed Limit (50km/h)
Speed Limit (50km/h)
Speed Limit (50km/h)
Speed Limit (50km/h)
Speed Limit (50km/h)
Speed Limit (50km/h)
Go right
Speed Limit (50km/h)
Speed Limit (50km/h)
Speed Limit (50km/h)
Go straight or right
Speed Limit 5
Go right
Speed Limit (50km/h)
Speed Limit (50km/h)
Speed Limit (50km/h)
Speed Limit (50km/h)
Speed Limit (50km/h)
Speed Limit (50km/h)
Go right
Keep Left
Speed Limit (50km/h)
Speed Limit (50km/h)
Speed Limit (50km/h)
Speed Limit (50km/h)
Speed Limit (50km/h)
Speed Limit (50km/h)
Speed Limit (50km/h)
Speed Limit (50km/h)
Speed Limit (50km/h)
Speed Limit (50km/h)
Speed Limit (50km/h)
Speed Limit (50km/h)
Speed Limit (50km/h)
Speed Limit (50km/h)
Speed Limit 5
Speed Limit (50km/h)
Speed Limit (50km/h)
Speed Limit (50km/h)
Speed Limit (50km/h)
Speed Limit (50km/h)
Speed Limit (50km/h)
Go straight or right
Go straight or right
Go straight or right
Go straight or right
Go straight or right
Go straight or right
Go straight or right
Go straight or right
Go straight or right
Go straight or right
Go straight or right
Go straight or right
Go straight or right
Go straight or right
Go straight or right
Go straight or right
Go straight or right
Go straight or right
Go straight or right
Go straight or right
Go straight or right
Go straight or right
Go straight or right
Go straight or right
Watch out for cars
Watch out for cars
Watch out for cars
Watch out for cars
Watch out for cars
Watch out for cars
Watch out for cars
Watch out for cars
Watch out for cars
Watch out for cars
Watch out for cars
Watch out for cars
Watch out for cars
Watch out for cars
Watch out for cars
Watch out for cars
Go right
Watch out for cars
Go straight or right
Go right
Go right
Go right
Watch out for cars
Watch out for cars
Watch out for cars
Watch out for cars
Watch out for cars
Watch out for cars
Watch out for cars
Watch out for cars
Watch out for cars
Watch out for cars
Watch out for cars
Watch out for cars
Watch out for cars
Watch out for cars
Watch out for cars
Watch out for cars
Watch out for cars
Watch out for cars
Watch out for cars
Watch out for cars
Watch out for cars
Watch out for cars
Watch out for cars
Watch out for cars
Watch out for cars
Watch out for cars
Watch out for cars
Watch out for cars
Go right
Watch out for cars
Go straight or right
Go right
Go right
Go right
Watch out for cars
Watch out for cars
Watch out for cars
Watch out for cars
Watch out for cars
Watch out for cars
Watch out for cars
Watch out for cars
Watch out for cars
Watch out for cars
Watch out for cars
Watch out for cars
Go left
Go left
Go left
Go left
Go left
Go left
Go left
Go left
Go left
Go left
Go left
Go left
Go left
Go left
Go left
Go left
Go left
Go left
Go left
Go left
Go left
Go left
Go left
Go left
Go left
Go left
Go right
Go right
Go right
Watch out for cars
Watch out for cars
Go right
Go right
Go right
Go right
Go right
Go right or straight
Go right
Go right
Go right
Go right
Go right
Go right
Go right
Go right
Go right
Watch out for cars
Watch out for cars
Go right
Go right
Go right
Go right
Go right
Go right or straight
Go right
Go right
Go right
Go right
Go right
Go right
Keep Left
Speed Limit (50km/h)
Keep Left
Speed Limit 70
Keep Left
Keep Left
Keep Left
Go left or straight
Keep Left
Keep Left
Speed Limit (50km/h)
Keep Left
Speed Limit 70
Keep Left
Keep Left
Keep Left
Go left or straight
Keep Left
Go Straight
Go Straight
Children Crossing
Horn
Unknown 1
Unknown 1
Children Crossing
Horn
Unknown 1
Unknown 1
Horn
Horn
Horn
Bicycle Crossing
Horn
Horn
U-turn
Horn
Horn
Dangerous curve to the left
Zebra Crossing
Go left or straight
Horn
Horn
Horn
Horn
Horn
Horn
Horn
Zigzag curve
Horn
U-turn
Horn
Horn
Horn
Horn
Bicycle Crossing
Horn
Horn
U-turn
Horn
Horn
Dangerous curve to the left
Zebra Crossing
Go left or straight
Horn
Horn
Horn
Horn
Horn
Horn
Horn
Zigzag curve
Horn
U-turn
Horn
Horn
Horn
Unknown 1
Unknown 1
Unknown 1
Unknown 1
Horn
Horn
Unknown 1
Unknown 1
Unknown 1
Unknown 1
U-turn
U-turn
Children Crossing
Children Crossing
U-turn
Horn
Children Crossing
Unknown 1
Road Divider
Go left or straight
U-turn
U-turn
Children Crossing
U-turn
U-turn
Children Crossing
Children Crossing
U-turn
Horn
Children Crossing
Unknown 1
Road Divider
Go left or straight
U-turn
U-turn
Children Crossing
U-turn
Children Crossing
Children Crossing
Unknown 1
Unknown 1
U-turn
U-turn
Road Divider
Road Divider
Unknown 1
Unknown 1
Unknown 1
Unknown 1
Unknown 1
Unknown 1
Unknown 1
Traffic Signals
Unknown 1
Unknown 1
Unknown 1
U-turn
Children Crossing
Children Crossing
Unknown 1
Unknown 1
U-turn
U-turn
Road Divider
Road Divider
Unknown 1
Unknown 1
Unknown 1
Unknown 1
Unknown 1
Unknown 1
Unknown 1
Traffic Signals
Unknown 1
Unknown 1
Unknown 1
Unknown 1
Children Crossing
Children Crossing
Children Crossing
Children Crossing
U-turn
Unknown 1
Unknown 1
Road Divider
Road Divider
Road Divider
Unknown 1
Unknown 1
Dangerous curve to the left
Dangerous curve to the left
Unknown 1
Children Crossing
Children Crossing
Children Crossing
Children Crossing
U-turn
Unknown 1
Unknown 1
Road Divider
Road Divider
Road Divider
Unknown 1
Unknown 1
Dangerous curve to the left
Dangerous curve to the left
Zebra Crossing
Unknown 1
Zebra Crossing
Unknown 1
Zebra Crossing
Unknown 1
Zebra Crossing
Unknown 1
Keep Right
Unknown 1
Unknown 1
Unknown 1
Keep Right
Unknown 1
Unknown 1
Unknown 1
U-turn
Children Crossing
Children Crossing
U-turn
Road Divider
Go left or straight
Unknown 1
U-turn
Road Divider
U-turn
Children Crossing
Children Crossing
U-turn
Road Divider
Go left or straight
Unknown 1
U-turn
Road Divider
Unknown 1
Unknown 1
Unknown 1
Unknown 1
U-turn
Horn
Traffic Signals
Go left or straight
Horn
Traffic Signals
Traffic Signals
Horn
Unknown 1
Children Crossing
U-turn
Horn
Horn
Unknown 1
Unknown 1
U-turn
U-turn
Unknown 1
Unknown 1
Unknown 1
Unknown 1
Unknown 1
Unknown 1
Road Divider
Road Divider
U-turn
U-turn
Traffic Signals
Children Crossing
Unknown 1
Dangerous curve to the left
Dangerous curve to the left
Dangerous curve to the left
Dangerous curve to the left
Children Crossing
Children Crossing
Children Crossing
Children Crossing
Unknown 1
Unknown 1
Unknown 1
U-turn
U-turn
U-turn
U-turn
Zebra Crossing
Zebra Crossing
Horn
Horn
U-turn
U-turn
Dangerous curve to the left
Dangerous curve to the left
Unknown 1
Unknown 1
Unknown 1
Unknown 1
Unknown 1
U-turn
Horn
Traffic Signals
Go left or straight
Horn
Traffic Signals
Traffic Signals
Horn
Unknown 1
Children Crossing
U-turn
Horn
Horn
Unknown 1
Unknown 1
U-turn
U-turn
Unknown 1
Unknown 1
Unknown 1
Unknown 1
Unknown 1
Unknown 1
Road Divider
Road Divider
U-turn
U-turn
Traffic Signals
Children Crossing
Unknown 1
Dangerous curve to the left
Dangerous curve to the left
Dangerous curve to the left
Dangerous curve to the left
Children Crossing
Children Crossing
Children Crossing
Children Crossing
Unknown 1
Unknown 1
Unknown 1
U-turn
U-turn
U-turn
U-turn
Zebra Crossing
Zebra Crossing
Horn
Horn
U-turn
U-turn
Dangerous curve to the left
Dangerous curve to the left
Unknown 1
Traffic Signals
Unknown 1
Unknown 1
Unknown 1
Unknown 1
Unknown 1
Unknown 1
U-turn
Children Crossing
Unknown 1
U-turn
U-turn
Traffic Signals
Unknown 1
Unknown 1
Unknown 1
Unknown 1
Unknown 1
Unknown 1
U-turn
Children Crossing
Unknown 1
U-turn
U-turn
U-turn
U-turn
Unknown 1
Unknown 1
Unknown 1
Children Crossing
Unknown 1
Unknown 1
Unknown 1
Unknown 1
Unknown 1
Unknown 1
Children Crossing
Unknown 1
Unknown 1
Unknown 1
Unknown 3
Unknown 3
Road Divider
Road Divider
Unknown 3
Unknown 3
Unknown 3
Road Divider
Road Divider
Unknown 3
Go right or straight
Go right or straight
Go right or straight
Go right or straight
Go right or straight
Go right or straight
Unknown 1
Unknown 1
Unknown 1
Unknown 1
Unknown 1
Unknown 1
Traffic Signals
Unknown 1
Unknown 1
Unknown 1
Unknown 1
Unknown 1
Traffic Signals
U-turn
U-turn
U-turn
Unknown 1
Children Crossing
Dangerous curve to the left
Dangerous curve to the left
U-turn
Unknown 1
Unknown 1
Unknown 1
Unknown 1
Unknown 1
Unknown 1
Traffic Signals
Unknown 1
Unknown 1
Unknown 1
Unknown 1
Unknown 1
Traffic Signals
U-turn
U-turn
U-turn
Unknown 1
Children Crossing
Dangerous curve to the left
Dangerous curve to the left
U-turn
Horn
U-turn
Horn
Horn
U-turn
Children Crossing
Zigzag curve
Zigzag curve
Zigzag curve
Zigzag curve
Horn
U-turn
Horn
Horn
U-turn
Children Crossing
Zigzag curve
Zigzag curve
Zigzag curve
Zigzag curve
Heavy Vehicle Accidents
Heavy Vehicle Accidents
Heavy Vehicle Accidents
Heavy Vehicle Accidents
Under construction
Under construction
Unknown 6
Under construction
Unknown 6
No Entry
No Entry
Under construction
Under construction
Under construction
Under construction
Speed Limit 50
Speed Limit 50
Speed Limit 50
Speed Limit 50
Under construction
Under construction
Unknown 6
Under construction
Unknown 6
No Entry
No Entry
Under construction
Under construction
Under construction
Under construction
Speed Limit 50
Speed Limit 50
Speed Limit 50
Speed Limit 50
Unknown 5
Unknown 5
Fences
Speed Limit 40
Fences
Fences
Fences
Fences
Fences
Fences
Speed Limit 40
Fences
Fences
Fences
Fences
Fences
Fences
Go right
Fences
Fences
Fences
Fences
Fences
Fences
Fences
Fences
Fences
Fences
Fences
Fences
Fences
Fences
Fences
Fences
Fences
Fences
Fences
Fences
Fences
Horn
Fences
Fences
Fences
Fences
Fences
Fences
Fences
Fences
Fences
Fences
Fences
Fences
Fences
Fences
Fences
Fences
Fences
Fences
Fences
Fences
Fences
Fences
Fences
Fences
Fences
Fences
Fences
Fences
Speed Limit (50km/h)
Fences
Fences
Fences
Fences
Fences
Fences
Fences
Fences
Fences
Fences
Fences
Fences
Fences
Fences
Fences
Fences
Fences
Fences
Fences
Fences
Fences
Fences
Speed Limit 40
Fences
Fences
Fences
Fences
Fences
Fences
Speed Limit 40
Fences
Fences
Fences
Fences
Fences
Fences
